"","index","PC1","PC2","muni_i","muni_j","muni_i_name","muni_j_name"
"60",60,-0.243501280896782,-1.16183557676146,"CO17013","CO05390","Aguadas","La Pintada"
"61",61,0.666617355045533,-0.987920731407232,"CO17013","CO17513","Aguadas","Pácora"
"62",62,-0.301533916090202,-0.505951316502264,"CO17013","CO17541","Aguadas","Pensilvania"
"63",63,-2.28319284934017,-1.20046709031339,"CO17013","CO17653","Aguadas","Salamina"
"64",64,-2.25514553028387,-1.13736062371041,"CO17013","CO05679","Aguadas","Santa Bárbara"
"65",65,1.36820668544127,-0.932617275129749,"CO17013","CO05756","Aguadas","Sonsón"
"66",66,-0.730989171957933,-1.18493688152124,"CO85010","CO85139","Aguazul","Maní"
"67",67,0.503823575450818,-1.14770747335124,"CO85010","CO15518","Aguazul","Pajarito"
"68",68,0.877105911873942,-0.980752556674371,"CO85010","CO85279","Aguazul","Recetor"
"69",69,0.760337208891117,-0.490011453423717,"CO20013","CO20045","Agustín Codazzi","Becerril"
"70",70,0.767330272186742,1.4784715142398,"CO20013","CO20250","Agustín Codazzi","El Paso"
"71",71,2.45227511674818,-0.756459094384441,"CO20013","CO20621","Agustín Codazzi","La Paz"
"72",72,-0.731515997398133,0.880694601741343,"CO41016","CO73067","Aipe","Ataco"
"73",73,1.75549196519524,0.906716233630323,"CO41016","CO73483","Aipe","Natagaima"
"74",74,0.141837942747115,0.212205157744381,"CO41016","CO41001","Aipe","Neiva"
"75",75,1.91337414937789,0.174552001026195,"CO41016","CO73555","Aipe","Planadas"
"76",76,0.277190845740479,1.70562782801926,"CO25019","CO25040","Albán","Anolaima"
"77",77,0.804468031398972,1.23183117041026,"CO25019","CO25269","Albán","Facatativá"
"78",78,0.920684637546422,0.732106904315467,"CO25019","CO25328","Albán","Guayabal de Síquima"
"79",79,-0.741761659615943,1.88967365574321,"CO25019","CO25718","Albán","Sasaima"
"80",80,0.63401122474192,1.12295354050912,"CO52019","CO52051","Albán","Arboleda"
"81",81,-1.26372449349931,3.20274106661472,"CO52019","CO52110","Albán","Buesaco"
"82",82,-1.69143828730457,3.00654802451975,"CO52019","CO52258","Albán","El Tablón de Gómez"
"83",83,-1.76291674658424,3.02030578463463,"CO52019","CO52685","Albán","San Bernardo"
"84",84,-0.74195028951183,2.89812609322948,"CO52019","CO52694","Albán","San Pedro de Cartago"
"85",85,1.28953464810746,1.5661230105991,"CO18029","CO18094","Albania","Belén de los Andaquíes"
"86",86,1.05637201030621,-0.414465694165438,"CO18029","CO18205","Albania","Curillo"
"87",87,3.86137125359951,-0.508686756771,"CO18029","CO18610","Albania","San José del Fragua"
"88",88,1.4534120120951,-0.808705391580568,"CO44035","CO44078","Albania","Barrancas"
"89",89,2.00652577251075,-0.227050053116724,"CO44035","CO44378","Albania","Hatonuevo"
"90",90,0.95561122190002,0.55089749535009,"CO44035","CO44430","Albania","Maicao"
"91",91,3.21957000786864,-0.173129918385267,"CO44035","CO44001","Albania","Riohacha"
"92",92,-0.494692974104931,0.258531676276321,"CO68020","CO15106","Albania","Briceño"
"93",93,2.6399105323563,-0.765481179059117,"CO68020","CO68271","Albania","Florián"
"94",94,1.57501201336698,-0.284189720618294,"CO68020","CO68368","Albania","Jesús María"
"95",95,2.36478122963596,-0.604756696366827,"CO68020","CO68572","Albania","Puente Nacional"
"96",96,1.76764148148184,-0.837583068876406,"CO68020","CO15632","Albania","Saboyá"
"97",97,2.70405665695797,-0.147567104380728,"CO76020","CO76147","Alcalá","Cartago"
"98",98,3.60903984115729,-0.503823359709394,"CO76020","CO63272","Alcalá","Filandia"
"99",99,3.85825285657742,-0.557286020600108,"CO76020","CO63594","Alcalá","Quimbaya"
"100",100,0.189467381812376,-0.725410018491304,"CO52022","CO52224","Aldana","Cuaspud Carlosama"
"101",101,-2.74182969291177,-1.20672430888149,"CO52022","CO52317","Aldana","Guachucal"
"102",102,0.916026819259853,-1.10277531577542,"CO52022","CO52356","Aldana","Ipiales"
"103",103,-1.30299101871572,-1.02402692794119,"CO52022","CO52585","Aldana","Pupiales"
"104",104,2.72409114745447,-0.0805488803111001,"CO05021","CO05206","Alejandría","Concepción"
"105",105,2.32169953811692,-0.689716590849133,"CO05021","CO05321","Alejandría","Guatapé"
"106",106,1.09621946658783,-0.0688785366523584,"CO05021","CO05667","Alejandría","San Rafael"
"107",107,3.39769591192959,-0.0535656906342557,"CO05021","CO05670","Alejandría","San Roque"
"108",108,0.510928832323276,-0.604663020806512,"CO05021","CO05690","Alejandría","Santo Domingo"
"109",109,0.880128144611777,-0.670978719322308,"CO47030","CO20238","Algarrobo","El Copey"
"110",110,2.15659106792613,-0.701222604043047,"CO47030","CO47288","Algarrobo","Fundación"
"111",111,0.604178644561726,-0.203334343150393,"CO47030","CO47660","Algarrobo","Sabanas de San Ángel"
"112",112,-1.20931374357239,0.676795768422789,"CO41020","CO41132","Algeciras","Campoalegre"
"113",113,2.45387358238179,-0.589398460391616,"CO41020","CO18247","Algeciras","El Doncello"
"114",114,-0.972031157967256,1.05420842283709,"CO41020","CO18256","Algeciras","El Paujíl"
"115",115,0.0963446117351025,0.47283489481775,"CO41020","CO41306","Algeciras","Gigante"
"116",116,1.48167132372496,-0.898904794931216,"CO41020","CO41349","Algeciras","Hobo"
"117",117,1.81276609565111,-0.756093560045699,"CO41020","CO18592","Algeciras","Puerto Rico"
"118",118,1.04811789541174,-0.391020282560368,"CO41020","CO41615","Algeciras","Rivera"
"119",119,2.20631469296951,-0.298189101389294,"CO41020","CO18753","Algeciras","San Vicente del Caguán"
